person_id,employee_id,employment_type,contractor_company,department,job_title,age_band_code,years_experience,training_status
618,CTR-00618,Contractor,PetroMaint Solutions,Maintenance,Instrument Technician,2,2.6,Current
619,EMP-00619,Employee,None,Drilling,Drilling Supervisor,2,2.4,Current
620,EMP-00620,Employee,None,HSE,Environmental Officer,2,9.2,Incomplete
621,CTR-00621,Contractor,Coastal Logistics Ltd,HSE,Environmental Officer,3,5.5,Due within 30 days
622,CTR-00622,Contractor,SafeBuild Engineering,Operations,Production Technician,4,9.1,Current
623,EMP-00623,Employee,None,Engineering,Process Engineer,2,5.5,Current
624,CTR-00624,Contractor,WestCo Services Ltd,Marine,Marine Supervisor,2,5.3,Current
625,EMP-00625,Employee,None,Laboratory,Sampling Technician,1,6.3,Current
626,EMP-00626,Employee,None,HSE,Occupational Health Officer,2,8.6,Current
627,EMP-00627,Employee,None,HSE,Environmental Officer,2,4.9,Current
628,CTR-00628,Contractor,Prime Offshore Contractors,HSE,Occupational Health Officer,2,11.2,Current
629,EMP-00629,Employee,None,Projects,Construction Supervisor,3,4.4,Current
630,EMP-00630,Employee,None,Maintenance,Mechanical Technician,2,3.5,Current
631,CTR-00631,Contractor,Delta Industrial Services,Projects,Project Engineer,3,11.1,Current
632,EMP-00632,Employee,None,Operations,Process Operator,3,18.3,Current
633,EMP-00633,Employee,None,Projects,Construction Supervisor,4,8.3,Current
634,EMP-00634,Employee,None,Operations,Operations Supervisor,3,4.1,Current
635,CTR-00635,Contractor,PetroMaint Solutions,Projects,Field Engineer,2,4.9,Expired
636,EMP-00636,Employee,None,Operations,Process Operator,2,3.9,Incomplete
637,CTR-00637,Contractor,Atlantic Marine Support,Logistics,Logistics Coordinator,3,5.9,Due within 30 days
638,EMP-00638,Employee,None,Drilling,Roustabout,2,12.3,Current
639,CTR-00639,Contractor,PetroMaint Solutions,Engineering,Process Engineer,3,3.0,Current
640,EMP-00640,Employee,None,Marine,Crane Operator,3,3.2,Current
641,EMP-00641,Employee,None,HSE,Environmental Officer,3,7.8,Expired
642,CTR-00642,Contractor,WestCo Services Ltd,HSE,Occupational Health Officer,2,7.1,Current
643,CTR-00643,Contractor,SafeBuild Engineering,Drilling,Driller,1,4.9,Current
644,CTR-00644,Contractor,Atlantic Marine Support,Laboratory,Chemist,3,4.3,Current
645,CTR-00645,Contractor,Coastal Logistics Ltd,Maintenance,Maintenance Supervisor,3,6.3,Current
646,EMP-00646,Employee,None,Laboratory,Chemist,4,23.7,Current
647,CTR-00647,Contractor,Coastal Logistics Ltd,Engineering,Reliability Engineer,4,8.2,Current
648,CTR-00648,Contractor,Atlantic Marine Support,Marine,Deck Crew,2,4.2,Current
649,CTR-00649,Contractor,Delta Industrial Services,Marine,Deck Officer,2,7.4,Current
650,CTR-00650,Contractor,SafeBuild Engineering,HSE,HSE Officer,3,3.6, current 
651,EMP-00651,Employee,None,Operations,Operations Supervisor,3,8.7,Current
652,EMP-00652,Employee,None,Operations,Operations Supervisor,4,4.8,Current
653,EMP-00653,Employee,None,Maintenance,Instrument Technician,5,10.6,Current
654,EMP-00654,Employee,None,Marine,Marine Supervisor,2,4.5,Due within 30 days
655,EMP-00655,Employee,None,Marine,Deck Crew,2,5.8,Current
656,EMP-00656,Employee,None,Maintenance,Maintenance Supervisor,3,19.8,Current
657,CTR-00657,Contractor,WestCo Services Ltd,Drilling,Driller,3,6.6,Current
658,EMP-00658,Employee,None,Drilling,Driller,3,7.9,Current
659,CTR-00659,Contractor,Integrated Drilling Services,HSE,HSE Officer,2,2.3,Due within 30 days
660,CTR-00660,Contractor,Delta Industrial Services,Marine,Deck Officer,4,13.4,Current
661,EMP-00661,Employee,None,Logistics,Logistics Coordinator,4,8.7,Current
662,CTR-00662,Contractor,SafeBuild Engineering,Laboratory,Sampling Technician,2,6.3,Current
663,EMP-00663,Employee,None,Maintenance,Maintenance Supervisor,3,2.1,Current
664,EMP-00664,Employee,None,Security,Security Supervisor,3,8.0,Current
665,EMP-00665,Employee,None,Security,Security Supervisor,2,2.7,Due within 30 days
666,EMP-00666,Employee,None,Maintenance,Maintenance Supervisor,3,4.7,Expired
667,CTR-00667,Contractor,Delta Industrial Services,Engineering,Reliability Engineer,3,9.8,Due within 30 days
668,EMP-00668,Employee,None,Laboratory,Chemist,4,15.4,Due within 30 days
669,CTR-00669,Contractor,Coastal Logistics Ltd,Engineering,Electrical Engineer,3,13.1,Current
670,EMP-00670,Employee,None,Projects,Construction Supervisor,3,2.2,Current
671,EMP-00671,Employee,None,HSE,HSE Officer,2,4.8,Current
672,EMP-00672,Employee,None,Security,Security Officer,3,10.1,Current
673,CTR-00673,Contractor,Coastal Logistics Ltd,Laboratory,Sampling Technician,1,1.9,Due within 30 days
674,EMP-00674,Employee,None,Drilling,Assistant Driller,3,9.8,Due within 30 days
675,EMP-00675,Employee,None,Projects,QA/QC Inspector,3,8.5,Current
676,EMP-00676,Employee,None,Marine,Crane Operator,3,12.0,Current
677,CTR-00677,Contractor,Coastal Logistics Ltd,Logistics,Warehouse Technician,3,7.9,Expired
678,EMP-00678,Employee,None,Maintenance,Maintenance Supervisor,4,0.8,Expired
679,EMP-00679,Employee,None,Operations,Production Technician,3,19.9,Current
680,EMP-00680,Employee,None,Projects,Project Engineer,4,6.4,Due within 30 days
681,EMP-00681,Employee,None,Laboratory,Laboratory Technician,2,7.8,Due within 30 days
682,EMP-00682,Employee,None,Drilling,Roustabout,2,7.1,Current
683,EMP-00683,Employee,None,Marine,Deck Crew,2,5.5,Expired
684,EMP-00684,Employee,None,Security,Security Officer,4,5.7,Current
685,EMP-00685,Employee,None,Projects,QA/QC Inspector,2,10.3,Current
686,CTR-00686,Contractor,Atlantic Marine Support,Maintenance,Maintenance Supervisor,3,4.7,Expired
687,CTR-00687,Contractor,Integrated Drilling Services,Marine,Deck Crew,2,6.8,Due within 30 days
688,CTR-00688,Contractor,Delta Industrial Services,Drilling,Driller,2,5.9,Current
689,EMP-00689,Employee,None,Maintenance,Mechanical Technician,5,6.0,Current
690,EMP-00690,Employee,None,Laboratory,Laboratory Technician,2,3.9,Current
691,CTR-00691,Contractor,Integrated Drilling Services,Operations,Process Operator,2,3.2,Current
692,EMP-00692,Employee,None,Operations,Process Operator,3,16.8,Current
693,CTR-00693,Contractor,Atlantic Marine Support,Drilling,Roustabout,4,3.6,Current
694,CTR-00694,Contractor,WestCo Services Ltd,Engineering,Electrical Engineer,3,8.1,Current
695,EMP-00695,Employee,None,HSE,Environmental Officer,2,2.3,Current
696,EMP-00696,Employee,None,HSE,HSE Advisor,2,7.0,Current
697,CTR-00697,Contractor,Delta Industrial Services,Security,Security Supervisor,2,5.5,Due within 30 days
698,CTR-00698,Contractor,SafeBuild Engineering,Engineering,Electrical Engineer,1,5.4,Current
699,CTR-00699,Contractor,WestCo Services Ltd,Logistics,Warehouse Technician,2,7.1,Current
700,EMP-00700,Employee,None,Drilling,Roustabout,4,4.3,Current
701,EMP-00701,Employee,None,Engineering,Electrical Engineer,2,2.8,Current
702,EMP-00702,Employee,None,HSE,HSE Officer,3,6.3,Current
703,EMP-00703,Employee,None,HSE,HSE Officer,2,3.3,Current
704,EMP-00704,Employee,None,Logistics,Logistics Coordinator,3,9.2,Current
705,EMP-00705,Employee,None,Security,Security Supervisor,2,14.1,Current
706,CTR-00706,Contractor,PetroMaint Solutions,Laboratory,Sampling Technician,2,6.0,Due within 30 days
707,EMP-00707,Employee,None,Laboratory,Sampling Technician,3,12.4,Due within 30 days
708,EMP-00708,Employee,None,HSE,HSE Officer,3,5.7,Current
709,CTR-00709,Contractor,Coastal Logistics Ltd,Engineering,Mechanical Engineer,3,10.9,Current
710,EMP-00710,Employee,None,Operations,Process Operator,2,5.6,Expired
711,EMP-00711,Employee,None,Drilling,Driller,1,1.4,Current
712,EMP-00712,Employee,None,Marine,Crane Operator,1,1.2,Current
713,EMP-00713,Employee,None,HSE,HSE Advisor,4,5.0,Current
714,CTR-00714,Contractor,Coastal Logistics Ltd,Maintenance,Electrical Technician,2,4.8,Current
715,EMP-00715,Employee,None,Security,Security Officer,2,6.3,Current
716,EMP-00716,Employee,None,Drilling,Drilling Supervisor,2,9.2,Current
717,EMP-00717,Employee,None,Maintenance,Mechanical Technician,3,0.9,Current
718,CTR-00718,Contractor,Delta Industrial Services,HSE,Occupational Health Officer,2,6.8,Current
719,EMP-00719,Employee,None,Operations,Process Operator,3,11.4,Current
720,EMP-00720,Employee,None,Drilling,Assistant Driller,4,4.3,Current
721,CTR-00721,Contractor,Delta Industrial Services,Logistics,Logistics Coordinator,3,8.2, current 
722,EMP-00722,Employee,None,Maintenance,Instrument Technician,4,4.2,Current
723,EMP-00723,Employee,None,Operations,Process Operator,4,18.2,Due within 30 days
724,EMP-00724,Employee,None,HSE,Occupational Health Officer,5,8.5,Current
725,EMP-00725,Employee,None,Marine,Crane Operator,2,6.1,Current
726,EMP-00726,Employee,None,Laboratory,Sampling Technician,5,12.9,Current
727,CTR-00727,Contractor,PetroMaint Solutions,Projects,Construction Supervisor,3,2.3,Due within 30 days
728,CTR-00728,Contractor,PetroMaint Solutions,Laboratory,Chemist,2,5.4,Current
729,CTR-00729,Contractor,SafeBuild Engineering,HSE,HSE Officer,3,2.7,Due within 30 days
730,EMP-00730,Employee,None,Projects,Construction Supervisor,2,7.2,Current
731,CTR-00731,Contractor,Integrated Drilling Services,Laboratory,Laboratory Technician,4,3.0,Current
732,CTR-00732,Contractor,Delta Industrial Services,Logistics,Forklift Operator,3,10.1,Current
733,EMP-00733,Employee,None,Engineering,Process Engineer,2,1.7,Current
734,CTR-00734,Contractor,Integrated Drilling Services,Operations,Production Technician,4,11.7,Expired
735,CTR-00735,Contractor,Integrated Drilling Services,HSE,Environmental Officer,2,2.0,Current
736,CTR-00736,Contractor,Prime Offshore Contractors,Operations,Process Operator,3,3.9,Current
737,EMP-00737,Employee,None,Laboratory,Sampling Technician,1,1.7,Current
738,CTR-00738,Contractor,PetroMaint Solutions,Drilling,Derrickhand,3,2.3,Current
739,EMP-00739,Employee,None,Laboratory,Laboratory Technician,2,2.6,Current
740,CTR-00740,Contractor,PetroMaint Solutions,Maintenance,Electrical Technician,3,2.4,Current
741,EMP-00741,Employee,None,Projects,QA/QC Inspector,2,4.4,Current
742,CTR-00742,Contractor,PetroMaint Solutions,Engineering,Reliability Engineer,2,16.8,Expired
743,CTR-00743,Contractor,Integrated Drilling Services,Projects,QA/QC Inspector,2,6.6,Current
744,CTR-00744,Contractor,Prime Offshore Contractors,Laboratory,Sampling Technician,3,8.1,Current
745,CTR-00745,Contractor,Integrated Drilling Services,HSE,Environmental Officer,4,5.2,Current
746,CTR-00746,Contractor,PetroMaint Solutions,Security,Security Officer,2,7.1,Due within 30 days
747,CTR-00747,Contractor,PetroMaint Solutions,Maintenance,Electrical Technician,3,3.8,Current
748,EMP-00748,Employee,None,Marine,Crane Operator,2,7.9,Incomplete
749,CTR-00749,Contractor,Atlantic Marine Support,Drilling,Driller,1,5.3,Current
750,EMP-00750,Employee,None,HSE,Environmental Officer,2,3.4,Expired
751,EMP-00751,Employee,None,Marine,Deck Officer,2,4.9,Current
752,EMP-00752,Employee,None,Drilling,Drilling Supervisor,2,4.8,Current
753,EMP-00753,Employee,None,Laboratory,Laboratory Technician,2,1.8,Due within 30 days
754,CTR-00754,Contractor,Atlantic Marine Support,Engineering,Process Engineer,4,15.0,Current
755,CTR-00755,Contractor,SafeBuild Engineering,Security,Security Officer,2,5.5,Current
756,EMP-00756,Employee,None,Engineering,Reliability Engineer,2,6.1,Current
757,EMP-00757,Employee,None,Drilling,Driller,3,2.6,Due within 30 days
758,EMP-00758,Employee,None,Laboratory,Laboratory Technician,3,5.2,Incomplete
759,CTR-00759,Contractor,PetroMaint Solutions,Marine,Marine Supervisor,2,4.5,Due within 30 days
760,CTR-00760,Contractor,WestCo Services Ltd,Marine,Deck Officer,2,6.2,Current
761,EMP-00761,Employee,None,Maintenance,Electrical Technician,3,3.6,Current
762,EMP-00762,Employee,None,Engineering,Mechanical Engineer,3,11.1,Current
763,CTR-00763,Contractor,Atlantic Marine Support,Engineering,Reliability Engineer,2,13.9,Current
764,CTR-00764,Contractor,Integrated Drilling Services,Logistics,Logistics Coordinator,4,1.5,Current
765,EMP-00765,Employee,None,Engineering,Process Engineer,2,4.0,Current
766,CTR-00766,Contractor,PetroMaint Solutions,Laboratory,Chemist,3,2.4,Due within 30 days
767,EMP-00767,Employee,None,Logistics,Driver,4,7.3,Current
768,CTR-00768,Contractor,Delta Industrial Services,Laboratory,Sampling Technician,3,9.9,Current
769,CTR-00769,Contractor,Atlantic Marine Support,Drilling,Roustabout,4,20.9,Current
770,EMP-00770,Employee,None,Marine,Deck Officer,3,4.4,Expired
771,CTR-00771,Contractor,Delta Industrial Services,Laboratory,Laboratory Technician,3,3.8,Current
772,EMP-00772,Employee,None,Laboratory,Chemist,2,7.4,Current
773,EMP-00773,Employee,None,Operations,Production Technician,2,1.4,Current
774,EMP-00774,Employee,None,Engineering,Mechanical Engineer,2,5.1,Current
775,EMP-00775,Employee,None,Logistics,Logistics Coordinator,2,2.0,Current
776,CTR-00776,Contractor,Atlantic Marine Support,Operations,Operations Supervisor,5,8.9,Expired
777,EMP-00777,Employee,None,Drilling,Derrickhand,1,1.1,Current
778,CTR-00778,Contractor,Prime Offshore Contractors,Security,Security Officer,2,3.4,Expired
779,CTR-00779,Contractor,Atlantic Marine Support,Engineering,Electrical Engineer,3,6.2,Current
780,EMP-00780,Employee,None,Engineering,Mechanical Engineer,1,1.8,Current
781,CTR-00781,Contractor,PetroMaint Solutions,Security,Security Supervisor,2,2.1,Current
782,EMP-00782,Employee,None,Drilling,Driller,2,9.9,Expired
783,EMP-00783,Employee,None,HSE,HSE Officer,2,1.2,Current
784,EMP-00784,Employee,None,Maintenance,Instrument Technician,4,5.6,Current
785,CTR-00785,Contractor,Delta Industrial Services,Projects,Project Engineer,4,9.4,Current
786,EMP-00786,Employee,None,Projects,Construction Supervisor,2,2.5,Incomplete
787,EMP-00787,Employee,None,Operations,Process Operator,1,4.7,Current
788,CTR-00788,Contractor,Atlantic Marine Support,Drilling,Roustabout,3,19.4,Current
789,CTR-00789,Contractor,PetroMaint Solutions,HSE,HSE Officer,2,9.5,Current
790,CTR-00790,Contractor,Prime Offshore Contractors,Marine,Marine Technician,3,3.2,Current
791,CTR-00791,Contractor,Delta Industrial Services,Projects,Field Engineer,2,3.7,Current
792,EMP-00792,Employee,None,Drilling,Roustabout,3,9.1,Current
793,EMP-00793,Employee,None,Drilling,Assistant Driller,3,8.8,Current
794,CTR-00794,Contractor,Prime Offshore Contractors,Maintenance,Maintenance Supervisor,5,9.1,Incomplete
795,CTR-00795,Contractor,PetroMaint Solutions,Laboratory,Sampling Technician,3,10.5,Due within 30 days
796,CTR-00796,Contractor,Coastal Logistics Ltd,Security,Security Supervisor,4,9.3,Due within 30 days
797,EMP-00797,Employee,None,Drilling,Driller,3,6.3,Current
798,CTR-00798,Contractor,WestCo Services Ltd,Drilling,Derrickhand,3,3.7,Current
799,EMP-00799,Employee,None,Projects,Field Engineer,2,3.0,Current
800,CTR-00800,Contractor,Integrated Drilling Services,Operations,Process Operator,2,4.1,Current
801,EMP-00801,Employee,None,Security,Security Supervisor,3,1.9,Current
802,CTR-00802,Contractor,PetroMaint Solutions,Projects,QA/QC Inspector,4,5.5,Current
803,EMP-00803,Employee,None,HSE,HSE Officer,1,4.2,Current
804,EMP-00804,Employee,None,Marine,Marine Supervisor,2,7.2,Current
805,CTR-00805,Contractor,Delta Industrial Services,Security,Security Supervisor,3,5.5,Current
806,CTR-00806,Contractor,Prime Offshore Contractors,Engineering,Mechanical Engineer,3,8.6,Expired
807,CTR-00807,Contractor,Coastal Logistics Ltd,Marine,Deck Officer,3,6.7,Current
808,CTR-00808,Contractor,WestCo Services Ltd,Maintenance,Electrical Technician,3,3.7,Current
809,EMP-00809,Employee,None,Engineering,Reliability Engineer,2,3.5,Current
810,CTR-00810,Contractor,Atlantic Marine Support,Projects,Construction Supervisor,2,6.4,Expired
811,EMP-00811,Employee,None,Laboratory,Chemist,3,5.4,Current
812,EMP-00812,Employee,None,HSE,Occupational Health Officer,3,4.4,Current
813,EMP-00813,Employee,None,Maintenance,Mechanical Technician,3,2.4,Due within 30 days
814,CTR-00814,Contractor,Prime Offshore Contractors,Security,Security Supervisor,3,6.6,Current
815,EMP-00815,Employee,None,Projects,Construction Supervisor,2,0.8,Current
816,EMP-00816,Employee,None,Security,Security Supervisor,3,6.0,Current
817,EMP-00817,Employee,None,Engineering,Electrical Engineer,1,6.4,Current
818,EMP-00818,Employee,None,Logistics,Warehouse Technician,2,1.6,Current
819,CTR-00819,Contractor,WestCo Services Ltd,Logistics,Forklift Operator,2,9.7,Current
820,CTR-00820,Contractor,SafeBuild Engineering,Projects,Field Engineer,2,8.1,Current
821,EMP-00821,Employee,None,Marine,Marine Technician,2,10.5,Current
822,CTR-00822,Contractor,Prime Offshore Contractors,Logistics,Driver,3,10.3,Current
823,CTR-00823,Contractor,Coastal Logistics Ltd,Projects,Field Engineer,2,6.6,Expired
824,EMP-00824,Employee,None,Projects,QA/QC Inspector,3,4.2,Expired
825,CTR-00825,Contractor,Atlantic Marine Support,Drilling,Drilling Supervisor,2,5.7,Current
826,EMP-00826,Employee,None,Engineering,Process Engineer,2,7.8,Incomplete
827,CTR-00827,Contractor,Integrated Drilling Services,Logistics,Warehouse Technician,3,3.0,Current
828,EMP-00828,Employee,None,Operations,Operations Supervisor,3,2.4,Current
829,CTR-00829,Contractor,SafeBuild Engineering,Operations,Production Technician,4,6.5,Current
830,EMP-00830,Employee,None,Logistics,Driver,4,7.3,Current
831,EMP-00831,Employee,None,Drilling,Roustabout,2,3.6,Expired
832,CTR-00832,Contractor,Prime Offshore Contractors,Operations,Control Room Operator,1,1.4,Current
833,CTR-00833,Contractor,Integrated Drilling Services,Maintenance,Instrument Technician,2,7.2,Incomplete
834,EMP-00834,Employee,None,Marine,Marine Technician,3,6.2,Current
835,EMP-00835,Employee,None,Maintenance,Electrical Technician,1,4.8,Current
836,EMP-00836,Employee,None,Maintenance,Maintenance Supervisor,4,2.1,Current
837,CTR-00837,Contractor,Atlantic Marine Support,Logistics,Logistics Coordinator,2,8.1,Current
838,CTR-00838,Contractor,SafeBuild Engineering,Logistics,Forklift Operator,2,4.7,Current
839,EMP-00839,Employee,None,Engineering,Process Engineer,2,3.1,Current
840,CTR-00840,Contractor,PetroMaint Solutions,Projects,Construction Supervisor,2,9.7,Incomplete
841,EMP-00841,Employee,None,Laboratory,Laboratory Technician,2,0.4,Current
842,CTR-00842,Contractor,Atlantic Marine Support,Maintenance,Electrical Technician,2,7.3,Current
843,EMP-00843,Employee,None,Security,Security Officer,2,8.3,Current
844,CTR-00844,Contractor,Atlantic Marine Support,Projects,Construction Supervisor,1,1.7,Expired
845,CTR-00845,Contractor,Delta Industrial Services,Marine,Deck Crew,3,2.7,Current
846,CTR-00846,Contractor,Delta Industrial Services,Marine,Marine Technician,2,7.9,Current
847,EMP-00847,Employee,None,Marine,Marine Technician,3,7.9,Due within 30 days
848,CTR-00848,Contractor,PetroMaint Solutions,Laboratory,Chemist,4,11.2,Expired
849,CTR-00849,Contractor,Prime Offshore Contractors,Maintenance,Electrical Technician,3,13.6,Due within 30 days
850,EMP-00850,Employee,None,Operations,Production Technician,2,5.2,Current
851,CTR-00851,Contractor,PetroMaint Solutions,Laboratory,Sampling Technician,3,7.1,Current
852,EMP-00852,Employee,None,Marine,Marine Supervisor,2,3.3,Current
853,EMP-00853,Employee,None,Logistics,Driver,3,3.4,Expired
854,EMP-00854,Employee,None,Maintenance,Maintenance Supervisor,2,2.1,Expired
855,CTR-00855,Contractor,PetroMaint Solutions,Operations,Operations Supervisor,3,6.8,Current
856,EMP-00856,Employee,None,HSE,HSE Officer,2,1.0,Current
857,CTR-00857,Contractor,WestCo Services Ltd,HSE,HSE Advisor,2,7.8,Current
858,EMP-00858,Employee,None,Laboratory,Laboratory Technician,3,5.3,Due within 30 days
859,EMP-00859,Employee,None,Security,Security Officer,3,15.7,Current
860,EMP-00860,Employee,None,HSE,HSE Officer,3,11.6,Current
861,EMP-00861,Employee,None,Security,Security Supervisor,4,7.7,Current
862,EMP-00862,Employee,None,HSE,Environmental Officer,1,5.8,Current
863,CTR-00863,Contractor,Coastal Logistics Ltd,Operations,Control Room Operator,3,20.4,Due within 30 days
864,CTR-00864,Contractor,Delta Industrial Services,Maintenance,Instrument Technician,3,12.7,Current
865,EMP-00865,Employee,None,Logistics,Logistics Coordinator,2,1.1,Current
866,EMP-00866,Employee,None,Engineering,Electrical Engineer,2,3.7,Current
867,CTR-00867,Contractor,PetroMaint Solutions,Drilling,Driller,4,8.9,Current
868,EMP-00868,Employee,None,Operations,Operations Supervisor,3,2.4,Current
869,EMP-00869,Employee,None,Marine,Deck Crew,2,2.5,Current
870,EMP-00870,Employee,None,Laboratory,Sampling Technician,3,11.8,Current
871,CTR-00871,Contractor,PetroMaint Solutions,Security,Security Officer,2,9.9,Current
872,CTR-00872,Contractor,Prime Offshore Contractors,Drilling,Derrickhand,2,2.7,Current
873,EMP-00873,Employee,None,HSE,HSE Advisor,3,15.2,Current
874,EMP-00874,Employee,None,HSE,HSE Officer,2,2.1,Current
875,EMP-00875,Employee,None,HSE,HSE Officer,4,15.8,Current
876,CTR-00876,Contractor,PetroMaint Solutions,Operations,Production Technician,3,9.5,Current
877,CTR-00877,Contractor,Atlantic Marine Support,Maintenance,Instrument Technician,2,4.6,Expired
878,EMP-00878,Employee,None,Engineering,Process Engineer,2,5.4,Expired
879,EMP-00879,Employee,None,Security,Security Supervisor,2,3.1,Current
880,EMP-00880,Employee,None,Engineering,Electrical Engineer,3,19.4,Current
881,EMP-00881,Employee,None,Security,Security Officer,1,1.7,Due within 30 days
882,EMP-00882,Employee,None,Marine,Deck Officer,3,3.4,Current
883,EMP-00883,Employee,None,Marine,Marine Technician,4,4.9,Expired
884,CTR-00884,Contractor,SafeBuild Engineering,Maintenance,Mechanical Technician,2,2.1,Expired
885,CTR-00885,Contractor,Prime Offshore Contractors,Security,Security Officer,2,3.6,Current
886,EMP-00886,Employee,None,Logistics,Logistics Coordinator,2,4.0,Current
887,CTR-00887,Contractor,SafeBuild Engineering,Security,Security Officer,2,0.2,Expired
888,EMP-00888,Employee,None,Drilling,Driller,2,0.9,Current
889,CTR-00889,Contractor,PetroMaint Solutions,Logistics,Forklift Operator,3,4.9,Current
890,CTR-00890,Contractor,PetroMaint Solutions,Security,Security Officer,3,10.7,Current
891,EMP-00891,Employee,None,Marine,Deck Crew,2,6.1,Current
892,EMP-00892,Employee,None,Logistics,Warehouse Technician,2,7.8,Expired
893,CTR-00893,Contractor,Integrated Drilling Services,HSE,Environmental Officer,2,4.9,Current
894,EMP-00894,Employee,None,Marine,Marine Supervisor,2,4.6,Current
895,EMP-00895,Employee,None,Projects,Field Engineer,3,9.9,Incomplete
896,EMP-00896,Employee,None,Engineering,Electrical Engineer,4,10.9,Current
897,EMP-00897,Employee,None,Security,Security Supervisor,3,8.0,Current
898,EMP-00898,Employee,None,Engineering,Process Engineer,1,4.1,Current
899,EMP-00899,Employee,None,Security,Security Supervisor,2,2.8,Current
900,EMP-00900,Employee,None,Projects,Construction Supervisor,3,13.3,Current
901,CTR-00901,Contractor,Coastal Logistics Ltd,Logistics,Forklift Operator,3,14.8,Current
902,EMP-00902,Employee,None,Marine,Marine Supervisor,2,4.3,Incomplete
903,EMP-00903,Employee,None,HSE,Environmental Officer,3,6.8,Current
904,EMP-00904,Employee,None,Engineering,Process Engineer,3,6.5,Current
905,EMP-00905,Employee,None,Drilling,Drilling Supervisor,3,1.5,Current
906,EMP-00906,Employee,None,Drilling,Roustabout,2,1.8,Current
907,EMP-00907,Employee,None,Marine,Marine Technician,4,5.1,Current
908,CTR-00908,Contractor,Integrated Drilling Services,Drilling,Drilling Supervisor,2,4.3,Incomplete
909,EMP-00909,Employee,None,Logistics,Forklift Operator,2,2.6,Due within 30 days
910,CTR-00910,Contractor,Prime Offshore Contractors,Engineering,Process Engineer,2,3.8,Current
911,CTR-00911,Contractor,SafeBuild Engineering,Projects,Construction Supervisor,2,5.4,Current
912,CTR-00912,Contractor,Atlantic Marine Support,Engineering,Electrical Engineer,2,0.9,Current
913,EMP-00913,Employee,None,Operations,Process Operator,1,3.4,Current
914,EMP-00914,Employee,None,Operations,Operations Supervisor,2,1.3,Current
915,EMP-00915,Employee,None,Projects,Construction Supervisor,2,4.4,Current
916,EMP-00916,Employee,None,Marine,Deck Crew,2,0.9,Due within 30 days
917,CTR-00917,contractor,Atlantic Marine Support,Engineering,Process Engineer,3,6.7,Current
918,CTR-00918,Contractor,Integrated Drilling Services,Marine,Deck Crew,4,6.2,Current
919,EMP-00919,Employee,None,Operations,Control Room Operator,4,8.2,Due within 30 days
920,CTR-00920,Contractor,Coastal Logistics Ltd,Engineering,Process Engineer,2,4.1,Current
921,EMP-00921,Employee,None,Logistics,Driver,2,1.8,Current
922,EMP-00922,Employee,None,Logistics,Logistics Coordinator,3,6.5,Current
923,EMP-00923,Employee,None,Security,Security Supervisor,3,5.5,Current
924,CTR-00924,Contractor,PetroMaint Solutions,Projects,Field Engineer,3,14.5,Current
925,EMP-00925,Employee,None,Marine,Deck Crew,4,8.0,Current
926,CTR-00926,Contractor,SafeBuild Engineering,MAINTENANCE,Instrument Technician,4,8.5,Current
927,CTR-00927,Contractor,Prime Offshore Contractors,Engineering,Reliability Engineer,3,9.9,Current
928,CTR-00928,Contractor,SafeBuild Engineering,Laboratory,Laboratory Technician,1,0.8,Expired
929,EMP-00929,Employee,None,Security,Security Officer,2,3.0,Incomplete
930,EMP-00930,Employee,None,Operations,Process Operator,3,4.2,Current
931,EMP-00931,Employee,None,HSE,Environmental Officer,3,3.8,Current
932,EMP-00932,Employee,None,Marine,Marine Supervisor,3,14.6,Due within 30 days
933,EMP-00933,Employee,None,Projects,Construction Supervisor,4,9.6,Current
934,CTR-00934,Contractor,Atlantic Marine Support,Engineering,Electrical Engineer,3,6.8,Current
935,CTR-00935,Contractor,Coastal Logistics Ltd,Projects,Construction Supervisor,1,6.0,Current
936,EMP-00936,Employee,None,Engineering,Mechanical Engineer,3,5.5,Current
937,EMP-00937,Employee,None,Drilling,Derrickhand,4,11.1,Expired
938,CTR-00938,Contractor,SafeBuild Engineering,Projects,Construction Supervisor,2,2.0,Current
939,CTR-00939,Contractor,Coastal Logistics Ltd,Marine,Marine Technician,3,8.6,Due within 30 days
940,EMP-00940,Employee,None,Projects,Project Engineer,2,4.6,Current
941,CTR-00941,Contractor,PetroMaint Solutions,Operations,Process Operator,5,3.4,Due within 30 days
942,EMP-00942,Employee,None,HSE,Environmental Officer,2,4.2,Current
943,EMP-00943,Employee,None,Projects,QA/QC Inspector,2,3.4,Incomplete
944,EMP-00944,Employee,None,Marine,Deck Officer,2,3.8,Current
945,EMP-00945,Employee,None,Maintenance,Mechanical Technician,1,1.6,Current
946,EMP-00946,Employee,None,Engineering,Mechanical Engineer,4,10.7,Expired
947,CTR-00947,Contractor,Prime Offshore Contractors,Projects,Field Engineer,3,5.1,Current
948,CTR-00948,Contractor,Atlantic Marine Support,HSE,Occupational Health Officer,1,7.3,Due within 30 days
949,CTR-00949,Contractor,PetroMaint Solutions,HSE,Environmental Officer,5,12.8,Incomplete
950,CTR-00950,Contractor,PetroMaint Solutions,Marine,Marine Technician,2,5.0,Current
951,EMP-00951,Employee,None,Security,Security Supervisor,2,4.7,Current
952,EMP-00952,Employee,None,Projects,Field Engineer,2,3.3,Current
953,EMP-00953,Employee,None,Logistics,Driver,3,7.1,Current
